CHARACTER_ID;NAME;AGE;GENDER;ROLE;ABILITY;WORLD_ID;STORY
1;Senku;30;Male;Scientist;Manufacture;3;The most intelligent one in science of world
2;Huy;23;Male;King;Judge;3;A powerful person who can control everything
3;Taiju;25;Male;Athlete;Strong;3;Unknow
4;Yuzuriha;30;Female;Person;Suture;3;Unknow
5;Gen Asagiri;25;Male;Person;Gaslighting;3;Someone who can control the flow of the conversation to his liking
6;Suika;16;Female;Person;Hide;3;Tiny body is strength of this girl which help her hide to everywhere easily
7;Aatrox;1000000;Male;Darkin;Using Sword;1;He was once a noble warrior who fought against the Void, but became a bloodthirsty monster who seeks to end all life
8;Rhaast;9000;Male;Darkin;Using Scythe;1;He was once a cunning strategist who led many victories against the Void, but became obsessed with domination and destruction
9;Varus;8560;Male;Darkin;Using Bow;1;He was once a loyal guardian of a temple in Ionia, but became a vengeful hunter who seeks to kill all those who defiled his sacred land
10;Valeeva;18274;Female;Darkin;Using Dagger;1;She was once a graceful dancer who charmed many with her beauty, but became a sadistic manipulator who delights in tormenting her victims
11;Taanari;854000;Female;Darkin;Using Spear;1;She was once a fierce warrior who defended her people from invaders, but became a ruthless conqueror who enslaved many nation
12;Huy;23;Male;Person;Administer World;2;The person who establish the world
13;Olivia;18;Female;Scientist;Research on Technology;2;A hard-working person in work
14;Sophia;25;Female;Writer;Write book;2;Unknow
15;Michael;30;Male;Engineer;Design Building;2;Unknow
16;Isabella;23;Female;Citizen;Cooking;2;Unknow
17;David;32;Male;Photographer;Taking pictures;2;A person who is creative and productive
18;Lisa;20;Female;Designer;Designer Poster;2;A beautiful girl with an artistic eye and meticulousness
